year,total_btu,full_source
2009,170,"Solar, Industrial"
2009,0,"Wind, Industrial"
2009,538,"Solar, Residential"
2010,82,"Hydroelectric, Commercial"
2010,1174,"Solar, Commercial"
2010,16,"Wind, Commercial"
2010,15220,"Geothermal, Electric Utility"
2010,258452,"Hydroelectric, Electric Utility"
2010,1204,"Solar, Electric Utility"
2010,94638,"Wind, Electric Utility"
2010,1668,"Hydroelectric, Industrial"
2010,257,"Solar, Industrial"
2010,0,"Wind, Industrial"
2010,900,"Solar, Residential"
2011,27,"Hydroelectric, Commercial"
2011,1994,"Solar, Commercial"
2011,51,"Wind, Commercial"
2011,15315,"Geothermal, Electric Utility"
2011,317531,"Hydroelectric, Electric Utility"
2011,1727,"Solar, Electric Utility"
2011,120121,"Wind, Electric Utility"
2011,1799,"Hydroelectric, Industrial"
2011,426,"Solar, Industrial"
2011,5,"Wind, Industrial"
2011,1359,"Solar, Residential"
2012,27,"Hydroelectric, Commercial"
2012,3317,"Solar, Commercial"
2012,54,"Wind, Commercial"
2012,15563,"Geothermal, Electric Utility"
2012,273858,"Hydroelectric, Electric Utility"
2012,4165,"Solar, Electric Utility"
2012,140751,"Wind, Electric Utility"
2012,2353,"Hydroelectric, Industrial"
2012,713,"Solar, Industrial"
2012,19,"Wind, Industrial"
2012,2058,"Solar, Residential"
2013,45,"Hydroelectric, Commercial"
2013,4317,"Solar, Commercial"
2013,61,"Wind, Commercial"
2013,15776,"Geothermal, Electric Utility"
2013,265057,"Hydroelectric, Electric Utility"
2013,8723,"Solar, Electric Utility"
2013,167744,"Wind, Electric Utility"
2013,3463,"Hydroelectric, Industrial"
2013,904,"Solar, Industrial"
2013,38,"Wind, Industrial"
2013,3214,"Solar, Residential"
2014,38,"Hydroelectric, Commercial"
2014,5513,"Solar, Commercial"
2014,107,"Wind, Commercial"
2014,15878,"Geothermal, Electric Utility"
2014,258045,"Hydroelectric, Electric Utility"
2014,17305,"Solar, Electric Utility"
2014,181497,"Wind, Electric Utility"
2014,1282,"Hydroelectric, Industrial"
2014,1155,"Solar, Industrial"
2014,52,"Wind, Industrial"
2014,4948,"Solar, Residential"
2015,35,"Hydroelectric, Commercial"
2015,6108,"Solar, Commercial"
2015,119,"Wind, Commercial"
2015,15919,"Geothermal, Electric Utility"
2015,247634,"Hydroelectric, Electric Utility"
2015,24452,"Solar, Electric Utility"
2015,190549,"Wind, Electric Utility"
2015,1410,"Hydroelectric, Industrial"
2015,1474,"Solar, Industrial"
2015,53,"Wind, Industrial"
2015,6998,"Solar, Residential"
2016,216,"Hydroelectric, Commercial"
2016,6686,"Solar, Commercial"
2016,132,"Wind, Commercial"
2016,15825,"Geothermal, Electric Utility"
2016,266325,"Hydroelectric, Electric Utility"
2016,35500,"Solar, Electric Utility"
2016,226791,"Wind, Electric Utility"
2016,1271,"Hydroelectric, Industrial"
2016,2088,"Solar, Industrial"
2016,70,"Wind, Industrial"
2016,10595,"Solar, Residential"
